Nombre,Artista,Popularidad
Flowers,Miley Cyrus,97
Classy 101,Feid,96
BESO,ROSALÍA,96
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,96
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,94
Like Crazy,Jimin,94
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,93
As It Was,Harry Styles,93
Take Two,BTS,93
Blinding Lights,The Weeknd,93
Acróstico,Shakira,92
El Merengue,Marshmello,92
CHORRITO PA LAS ANIMAS,Feid,91
Hey Mor,Ozuna,91
Niña Bonita,Feid,90
Feliz Cumpleaños Ferxxo,Feid,90
La Bachata,Manuel Turizo,90
VAGABUNDO,Sebastian Yatra,89
Locked out of Heaven,Bruno Mars,89
Normal,Feid,88
La Bachata,Manuel Turizo,87
Monotonía,Shakira,87
REMIX EXCLUSIVO,Feid,86
Dile,Don Omar,86
Te Felicito,Shakira,86
No Se Va,Morat,84
"Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,84
Hey Mor,Ozuna,84
Ferxxo 100,Feid,83
Caraluna,Bacilos,83
Prohibidox,Feid,82
Normal,Feid,82
Lamento Boliviano,Los Enanitos Verdes,82
Cuando Nadie Ve,Morat,81
Dueles,Jesse & Joy,81
Besos En Guerra,Morat,80
Escápate Conmigo - Remix,Wolfine,79
Ojitos Chiquitos,Don Omar,79
Procura,ChiChi Peralta,79
EL CUARTO DE FERXXO,Feid,78
Mxfix G5,Feid,78
Salir Con Vida,Morat,78
Le Pido a DIOS,Feid,77
Te Mando Flores,Fonseca,76
SI TÚ SUPIERAS - Bonus Track,Feid,75
X19X,Feid,73
La Ex - En Vivo,Luis Alfonso,66
No Sufriré por Nadie - Remix,Joaquin Guiller,66
Delicate - Seeb Remix,Taylor Swift,0
Shake It Off,Taylor Swift,0
