Nombre,Artista,Popularidad
Classy 101,Feid,96
TQG,KAROL G,96
Me Porto Bonito,Bad Bunny,92
CHORRITO PA LAS ANIMAS,Feid,91
Hey Mor,Ozuna,91
Ojitos Lindos,Bad Bunny,91
Yandel 150,Yandel,91
Tití Me Preguntó,Bad Bunny,91
AMARGURA,KAROL G,90
Niña Bonita,Feid,90
Feliz Cumpleaños Ferxxo,Feid,90
Yandel 150,Yandel,90
Efecto,Bad Bunny,90
La Bachata,Manuel Turizo,90
Normal,Feid,88
LA CANCIÓN,J Balvin,88
Gato de Noche,Ñengo Flow,88
Moscow Mule,Bad Bunny,88
Mas Rica Que Ayer,Anuel AA,88
La Bachata,Manuel Turizo,87
La Jumpa,Arcángel,87
Neverita,Bad Bunny,87
REMIX EXCLUSIVO,Feid,86
X SI VOLVEMOS,KAROL G,86
Dile,Don Omar,86
Yonaguni,Bad Bunny,86
La Jumpa,Arcángel,86
PROVENZA,KAROL G,85
Pa' Que Retozen,Tego Calderón,84
PROVENZA,KAROL G,84
La Curiosidad,Jay Wheeler,84
Ferxxo 100,Feid,83
CAIRO,KAROL G,83
Diles,Bad Bunny,83
X SI VOLVEMOS,KAROL G,83
Prohibidox,Feid,82
Corazón Roto - Remix,Brray,82
UN PESO,J Balvin,82
PERO TÚ,KAROL G,82
Monastery,Ryan Castro,80
TUS GAFITAS,KAROL G,80
Escápate Conmigo - Remix,Wolfine,79
Sensacion Del Bloque,De La Ghetto,79
KÁRMIKA,KAROL G,79
EL CUARTO DE FERXXO,Feid,78
CAROLINA,KAROL G,78
Le Pido a DIOS,Feid,77
Es Un Secreto,Plan B,74
Solos (feat. Plan B),Tony Dize,70
69,Nicky Jam,69
