Nombre,Artista,Popularidad
I Wanna Be Yours,Arctic Monkeys,95
I Ain't Worried,OneRepublic,94
Sweater Weather,The Neighbourhood,92
Do I Wanna Know?,Arctic Monkeys,90
Believer,Imagine Dragons,90
Every Breath You Take,The Police,89
Creep,Radiohead,89
Why'd You Only Call Me When You're High?,Arctic Monkeys,89
Take on Me,a-ha,89
Sweet Child O' Mine,Guns N' Roses,88
505,Arctic Monkeys,88
Cold Heart - PNAU Remix,Elton John,88
Have You Ever Seen The Rain,Creedence Clearwater Revival,88
Counting Stars,OneRepublic,88
Thunder,Imagine Dragons,88
Somewhere Only We Know,Keane,88
Stressed Out,Twenty One Pilots,87
Demons,Imagine Dragons,87
Losing My Religion,R.E.M.,87
Highway to Hell,AC/DC,87
Dream On,Aerosmith,86
Back In Black,AC/DC,86
Safe And Sound,Capital Cities,85
Ride,Twenty One Pilots,85
Welcome To The Jungle,Guns N' Roses,85
Tormenta (feat. Bad Bunny),Gorillaz,84
I Was Made For Lovin' You,KISS,84
Bohemian Rhapsody - Remastered 2011,Queen,84
Caraluna,Bacilos,83
Lamento Boliviano,Los Enanitos Verdes,82
Hasta la Raíz,Natalia Lafourcade,82
Devuélveme a mi chica,Hombres G,81
Don't Cry (Original),Guns N' Roses,81
Rosas,La Oreja de Van Gogh,81
Oye Mi Amor,Maná,80
Es Por Ti,Juanes,80
Me Voy,Julieta Venegas,80
Para No Verte Más,La Mosca Tse-Tse,79
La flaca,Jarabe De Palo,79
De Música Ligera - Remasterizado 2007,Soda Stereo,79
Tu Sin Mi,Dread Mar I,79
Labios Rotos - En Vivo Desde México / 2010,Zoé,79
Flaca,Andrés Calamaro,78
Atrévete-Te-Te,Calle 13,78
Eres,Café Tacvba,77
Trátame Suavemente - Remasterizado 2007,Soda Stereo,77
Mi primer millon,Bacilos,77
En algún lugar,Duncan Dhu,76
Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo,76
Tabaco Y Chanel,Bacilos,75
